Shipment_ID,Origin_Country,Destination_Country,Shipment_Date,Estimated_Arrival_Date,Actual_Arrival_Date,Transport_Mode,Carrier_Name,Route_Code,Commodity_Type,Declared_Value_USD,Weight_kg,HS_Code,Document_Status,Compliance_Score,Prior_Offense_Count,Tariff_Category,Route_Risk_Index,Inspection_Type,Delay_Reason,Customs_Delay_Days,Risk_Flag
SHP000385,UK,Germany,2020-08-20,2020-09-19,2020-09-19,Air,Carrier_31,R925,Electronics,36810.23,4907.42,3893.63,Missing,0.55,1,High,0.65,Both,Incorrect HS code classification,0,0
SHP000386,Japan,South Africa,2022-05-13,2022-05-26,2022-05-26,Sea,Carrier_26,R201,Machinery,10706.78,2848.38,3676.17,Complete,0.68,2,Medium,0.97,Both,"Incomplete paperwork, requires manual review",0,0
SHP000387,UAE,Japan,2021-11-30,2021-12-16,2021-12-16,Road,Carrier_36,R670,Automotive,6590.69,798.67,6638.12,Missing,0.54,0,Medium,0.25,Both,Incorrect HS code classification,0,0
SHP000388,Germany,Australia,2020-12-15,2021-01-13,2021-01-18,Road,Carrier_23,R432,Machinery,42680.19,2828.05,9363.72,Error,0.71,3,Low,0.11,Document,Incorrect HS code classification,5,2
SHP000389,Brazil,South Africa,2020-08-16,2020-08-26,2020-08-29,Road,Carrier_27,R746,Food,4315.75,3553.78,7631.19,Complete,0.73,1,Medium,0.08,Physical,Random inspection selected,3,1
SHP000390,Japan,Brazil,2021-12-31,2022-01-24,2022-01-28,Rail,Carrier_18,R555,Automotive,23456.73,2449.25,9535.67,Missing,0.5,1,Low,0.95,Physical,High-risk commodity flagged for inspection,4,2
SHP000391,Germany,Japan,2019-11-24,2019-12-05,2019-12-08,Air,Carrier_26,R205,Electronics,23652.48,2088.24,2045.70,Error,0.79,0,Low,0.55,Document,Incorrect HS code classification,3,1
SHP000392,India,USA,2021-12-11,2022-01-04,2022-01-08,Air,Carrier_6,R770,Textiles,4051.38,2586.89,6068.39,Complete,0.88,5,Medium,0.46,Document,"Suspected undervaluation, needs reassessment",4,2
SHP000393,USA,Germany,2024-11-27,2024-12-07,2024-12-07,Sea,Carrier_3,R779,Automotive,9070.61,1684.56,6328.70,Missing,0.85,4,Medium,0.52,Both,Tariff dispute pending resolution,0,0
SHP000394,USA,Australia,2020-12-26,2021-01-18,2021-01-18,Rail,Carrier_41,R866,Machinery,11039.18,4395.26,8126.77,Error,0.93,5,High,0.87,Document,Random inspection selected,0,0
SHP000395,UAE,Australia,2021-07-19,2021-08-18,2021-08-19,Sea,Carrier_29,R415,Automotive,49264.49,3871.46,7753.43,Complete,0.42,2,Low,0.07,Physical,Incorrect HS code classification,1,1
SHP000396,USA,UK,2022-03-20,2022-04-09,2022-04-09,Sea,Carrier_45,R603,Textiles,23732.64,4550.64,5908.11,Missing,0.72,2,High,0.5,Physical,Routine customs clearance without issue,0,0
SHP000397,China,Australia,2023-03-11,2023-03-22,2023-03-24,Rail,Carrier_36,R547,Textiles,41283.05,1933.08,5094.30,Error,0.87,5,High,0.96,Document,Routine customs clearance without issue,2,1
SHP000398,UK,Germany,2021-12-13,2021-12-20,2021-12-20,Rail,Carrier_41,R345,Food,10984.56,2640.48,5454.46,Error,0.57,5,High,0.79,Document,Tariff dispute pending resolution,0,0
SHP000399,Germany,India,2021-01-17,2021-01-26,2021-02-02,Road,Carrier_8,R752,Textiles,40097.79,2010.05,8418.44,Error,0.95,4,Medium,0.53,Physical,Random inspection selected,7,2
SHP000400,China,Germany,2019-07-23,2019-08-14,2019-08-19,Sea,Carrier_12,R204,Automotive,8739.79,3494.7,5410.26,Error,0.88,3,High,0.32,Physical,High-risk commodity flagged for inspection,5,2
SHP000401,India,Germany,2019-03-02,2019-03-22,2019-03-22,Air,Carrier_22,R530,Automotive,10027.02,4475.25,9165.57,Missing,0.79,5,Low,0.15,Document,"Incomplete paperwork, requires manual review",0,0
SHP000402,USA,China,2021-12-27,2022-01-25,2022-01-25,Rail,Carrier_5,R656,Textiles,22575.85,3095.73,3975.34,Missing,0.45,3,Low,0.88,Physical,Routine customs clearance without issue,0,0
SHP000403,Germany,UAE,2023-12-20,2024-01-01,2024-01-03,Sea,Carrier_13,R571,Machinery,48389.2,2117.92,2539.76,Error,0.99,1,Medium,0.67,Document,"Suspected undervaluation, needs reassessment",2,1
SHP000404,Brazil,UK,2020-10-11,2020-11-05,2020-11-11,Sea,Carrier_48,R662,Food,32098.89,871.48,3001.42,Missing,0.93,5,Medium,0.43,Physical,Random inspection selected,6,2
SHP000405,China,Brazil,2020-04-07,2020-04-19,2020-04-24,Rail,Carrier_21,R115,Pharmaceuticals,36248.33,4456.78,5523.84,Complete,0.45,3,Low,0.73,Physical,"Incomplete paperwork, requires manual review",5,2
SHP000406,Australia,UAE,2020-09-26,2020-10-12,2020-10-21,Sea,Carrier_16,R261,Textiles,10183.19,4297.98,2497.97,Error,0.89,2,High,0.54,Physical,"Incomplete paperwork, requires manual review",9,2
SHP000407,Japan,USA,2020-03-15,2020-03-24,2020-03-24,Rail,Carrier_15,R424,Food,24087.23,4117.1,6690.66,Error,0.68,1,Low,0.36,Both,Tariff dispute pending resolution,0,0
SHP000408,Japan,USA,2021-10-23,2021-10-29,2021-11-03,Rail,Carrier_46,R548,Food,25216.41,4149.83,5828.79,Error,0.6,3,Low,0.17,Both,High-risk commodity flagged for inspection,5,2
SHP000409,South Africa,Japan,2022-08-18,2022-09-15,2022-09-19,Rail,Carrier_18,R988,Food,5931.24,1237.38,3627.18,Error,0.49,1,Medium,0.35,Document,Routine customs clearance without issue,4,2
SHP000410,Brazil,Australia,2023-02-12,2023-03-03,2023-03-06,Sea,Carrier_50,R753,Food,23067.2,3756.69,7210.33,Complete,0.79,4,Medium,0.62,Both,High-risk commodity flagged for inspection,3,1
SHP000411,Japan,India,2023-05-07,2023-05-18,2023-05-22,Rail,Carrier_50,R664,Pharmaceuticals,24093.07,4896.57,5638.51,Missing,0.78,5,Medium,0.13,Physical,"Incomplete paperwork, requires manual review",4,2
SHP000412,South Africa,India,2019-06-29,2019-07-08,2019-07-08,Air,Carrier_3,R306,Electronics,34132.7,1659.26,8952.34,Complete,0.81,0,High,0.07,Both,Routine customs clearance without issue,0,0
SHP000413,UK,South Africa,2024-11-23,2024-12-17,2024-12-19,Road,Carrier_4,R475,Pharmaceuticals,12131.8,4193.35,2161.11,Complete,0.57,5,Medium,0.64,Physical,Tariff dispute pending resolution,2,1
SHP000414,China,UK,2023-08-31,2023-09-16,2023-09-17,Sea,Carrier_40,R372,Food,35013.38,2587.64,1666.19,Missing,0.58,0,Low,0.21,Both,"Incomplete paperwork, requires manual review",1,1
SHP000415,India,Brazil,2024-12-17,2025-01-03,2025-01-06,Air,Carrier_13,R638,Machinery,43689.02,3842.02,5075.82,Error,0.87,1,High,0.66,Both,Incorrect HS code classification,3,1
SHP000416,UK,India,2023-01-06,2023-02-01,2023-02-03,Rail,Carrier_45,R781,Textiles,13754.06,4540.62,2705.31,Complete,0.8,4,Medium,0.56,Both,Random inspection selected,2,1
SHP000417,USA,Australia,2023-12-20,2024-01-05,2024-01-06,Road,Carrier_36,R432,Automotive,23557.56,4329.59,7755.91,Missing,0.73,5,Medium,0.38,Both,High-risk commodity flagged for inspection,1,1
SHP000418,Australia,South Africa,2021-05-26,2021-06-12,2021-06-12,Road,Carrier_24,R563,Textiles,48863.22,598.07,7505.10,Error,0.65,0,Medium,0.04,Both,"Incomplete paperwork, requires manual review",0,0
SHP000419,South Africa,USA,2022-05-21,2022-05-26,2022-05-28,Road,Carrier_15,R319,Automotive,14721.83,4298.79,1355.98,Missing,0.58,4,High,0.91,Both,Incorrect HS code classification,2,1
SHP000420,Australia,USA,2020-01-22,2020-01-28,2020-01-30,Rail,Carrier_23,R259,Pharmaceuticals,37944.13,4034.29,5341.56,Error,0.41,1,Low,0.96,Document,Routine customs clearance without issue,2,1
SHP000421,Brazil,India,2023-06-26,2023-07-19,2023-07-19,Air,Carrier_47,R179,Machinery,41640.34,1443.53,6319.71,Complete,0.92,3,High,0.11,Both,Incorrect HS code classification,0,0
SHP000422,India,Japan,2019-06-03,2019-07-01,2019-07-06,Rail,Carrier_6,R898,Electronics,35480.61,2726.46,6478.54,Missing,0.46,3,Low,0.24,Physical,"Suspected undervaluation, needs reassessment",5,2
SHP000423,Australia,China,2023-04-16,2023-04-22,2023-04-23,Road,Carrier_34,R142,Automotive,15762.0,3011.87,9846.82,Complete,0.58,2,High,0.3,Both,High-risk commodity flagged for inspection,1,1
SHP000424,USA,China,2023-05-29,2023-06-17,2023-06-18,Sea,Carrier_15,R542,Automotive,37416.47,288.31,7460.28,Complete,0.94,2,Low,0.85,Document,Incorrect HS code classification,1,1
SHP000425,China,Australia,2023-06-24,2023-07-07,2023-07-11,Sea,Carrier_26,R613,Textiles,44722.82,967.38,3136.27,Missing,0.45,4,Low,0.24,Document,Tariff dispute pending resolution,4,2
SHP000426,Australia,Germany,2024-11-17,2024-11-29,2024-12-06,Air,Carrier_5,R372,Textiles,39934.34,221.62,6298.97,Error,0.75,0,Low,1.0,Both,Tariff dispute pending resolution,7,2
SHP000427,UK,Japan,2022-11-27,2022-12-08,2022-12-10,Road,Carrier_23,R708,Machinery,4118.4,4165.3,1396.49,Complete,0.76,2,High,0.11,Document,Incorrect HS code classification,2,1
SHP000428,USA,South Africa,2019-07-03,2019-07-15,2019-07-20,Air,Carrier_44,R482,Pharmaceuticals,5599.01,4552.65,2405.24,Error,0.8,0,Low,0.83,Both,High-risk commodity flagged for inspection,5,2
SHP000429,Brazil,China,2022-11-07,2022-12-04,2022-12-06,Sea,Carrier_20,R560,Textiles,26354.87,2180.62,1372.52,Complete,0.59,5,High,0.43,Physical,High-risk commodity flagged for inspection,2,1
SHP000430,South Africa,Australia,2021-11-25,2021-12-17,2021-12-22,Rail,Carrier_40,R847,Pharmaceuticals,38920.1,3029.52,1301.58,Error,0.94,5,High,0.44,Physical,Random inspection selected,5,2
SHP000431,USA,China,2022-03-09,2022-03-20,2022-03-26,Road,Carrier_4,R576,Machinery,29993.16,3528.04,1136.18,Missing,0.54,5,Medium,0.51,Both,Routine customs clearance without issue,6,2
SHP000432,Japan,India,2019-03-20,2019-04-03,2019-04-08,Rail,Carrier_15,R489,Food,6107.02,1953.33,2631.50,Missing,0.69,4,High,0.65,Physical,High-risk commodity flagged for inspection,5,2
SHP000433,Germany,Australia,2024-02-19,2024-03-12,2024-03-14,Sea,Carrier_3,R353,Food,37436.1,2556.02,5995.52,Missing,0.78,3,High,0.07,Physical,"Incomplete paperwork, requires manual review",2,1
SHP000434,Japan,UK,2022-12-26,2023-01-20,2023-01-23,Road,Carrier_16,R613,Automotive,13465.19,1841.17,2015.90,Missing,0.68,3,Low,0.05,Both,Random inspection selected,3,1
SHP000435,Germany,USA,2022-10-31,2022-11-17,2022-11-17,Air,Carrier_6,R847,Textiles,48605.1,1690.17,9531.96,Error,0.69,5,High,0.2,Physical,Tariff dispute pending resolution,0,0
SHP000436,Germany,USA,2023-10-13,2023-10-27,2023-10-27,Road,Carrier_29,R655,Pharmaceuticals,30928.22,1439.38,4387.93,Complete,0.52,4,High,0.52,Both,Routine customs clearance without issue,0,0
SHP000437,Germany,USA,2022-06-19,2022-07-16,2022-07-17,Air,Carrier_28,R888,Pharmaceuticals,40326.7,2881.64,3589.50,Complete,0.71,4,High,0.29,Both,"Incomplete paperwork, requires manual review",1,1
SHP000438,USA,UK,2020-08-19,2020-09-16,2020-09-16,Sea,Carrier_49,R426,Textiles,46655.93,2015.22,7737.48,Missing,0.45,5,High,0.62,Both,Random inspection selected,0,0
SHP000439,USA,Brazil,2020-03-13,2020-03-22,2020-03-23,Air,Carrier_2,R880,Food,25863.18,4377.4,5372.87,Error,0.7,4,Low,0.7,Both,High-risk commodity flagged for inspection,1,1
SHP000440,Germany,China,2023-01-11,2023-01-18,2023-01-18,Rail,Carrier_9,R614,Food,49648.03,700.87,8680.93,Missing,0.56,1,Medium,0.39,Document,Tariff dispute pending resolution,0,0
SHP000441,USA,Germany,2021-03-02,2021-03-14,2021-03-14,Sea,Carrier_27,R882,Electronics,45472.94,3584.46,5421.62,Complete,0.76,5,High,0.31,Physical,Routine customs clearance without issue,0,0
SHP000442,Germany,India,2020-12-26,2021-01-14,2021-01-14,Rail,Carrier_45,R432,Textiles,41365.73,4777.55,5043.64,Missing,0.89,0,High,0.0,Both,Routine customs clearance without issue,0,0
SHP000443,UK,Japan,2023-06-03,2023-06-27,2023-06-27,Sea,Carrier_34,R211,Textiles,13622.75,344.65,8485.15,Complete,0.76,4,High,0.69,Document,"Suspected undervaluation, needs reassessment",0,0
SHP000444,China,Australia,2023-05-06,2023-05-27,2023-05-29,Sea,Carrier_13,R398,Textiles,6609.89,1950.0,7521.48,Missing,0.67,3,Low,0.37,Document,Random inspection selected,2,1
SHP000445,Australia,China,2024-10-18,2024-10-27,2024-10-28,Rail,Carrier_42,R562,Electronics,37807.72,401.49,9202.24,Complete,0.45,4,High,0.35,Both,High-risk commodity flagged for inspection,1,1
SHP000446,UK,UAE,2022-08-17,2022-09-05,2022-09-05,Sea,Carrier_12,R564,Food,47144.56,3359.43,4308.68,Complete,0.81,2,Medium,0.36,Both,"Suspected undervaluation, needs reassessment",0,0
SHP000447,USA,India,2020-01-09,2020-01-17,2020-01-18,Rail,Carrier_41,R471,Electronics,32168.71,4570.77,9582.59,Error,0.77,4,High,0.87,Physical,Tariff dispute pending resolution,1,1
SHP000448,South Africa,UK,2019-06-29,2019-07-28,2019-07-30,Air,Carrier_22,R679,Machinery,36474.68,646.76,3459.30,Complete,0.94,1,High,0.07,Physical,Tariff dispute pending resolution,2,1
SHP000449,Brazil,Japan,2024-01-02,2024-01-16,2024-01-16,Air,Carrier_8,R234,Pharmaceuticals,1573.62,2139.07,1057.89,Missing,0.58,0,Medium,0.49,Document,Routine customs clearance without issue,0,0
SHP000450,UAE,Australia,2019-01-24,2019-02-17,2019-02-19,Rail,Carrier_16,R322,Food,29282.79,266.51,8794.68,Missing,0.47,3,Low,0.56,Both,Incorrect HS code classification,2,1
SHP000451,China,Brazil,2022-02-13,2022-03-09,2022-03-14,Air,Carrier_4,R289,Pharmaceuticals,32962.29,4235.74,1902.93,Missing,0.82,0,Low,0.43,Physical,"Suspected undervaluation, needs reassessment",5,2
SHP000452,Australia,Brazil,2022-09-18,2022-09-25,2022-09-25,Sea,Carrier_7,R526,Pharmaceuticals,33975.36,1413.14,3643.96,Missing,0.58,4,High,0.79,Both,"Suspected undervaluation, needs reassessment",0,0
SHP000453,Australia,South Africa,2020-12-27,2021-01-15,2021-01-21,Road,Carrier_3,R195,Automotive,41298.7,4294.93,6289.57,Missing,0.95,0,Medium,0.43,Both,"Incomplete paperwork, requires manual review",6,2
SHP000454,Brazil,South Africa,2020-07-05,2020-07-13,2020-07-14,Road,Carrier_22,R639,Textiles,16624.47,2931.88,9595.36,Error,0.62,1,High,0.6,Physical,"Incomplete paperwork, requires manual review",1,1
SHP000455,Australia,South Africa,2019-12-26,2020-01-15,2020-01-20,Road,Carrier_28,R723,Automotive,19353.09,875.96,5254.77,Error,0.66,4,Medium,0.14,Physical,Incorrect HS code classification,5,2
SHP000456,Australia,UAE,2024-10-29,2024-11-26,2024-12-01,Rail,Carrier_32,R927,Pharmaceuticals,44614.75,1762.09,4812.47,Complete,0.49,0,Low,0.03,Physical,Tariff dispute pending resolution,5,2
SHP000457,India,Brazil,2023-08-26,2023-09-13,2023-09-18,Sea,Carrier_22,R458,Food,17689.6,404.97,4478.11,Error,0.65,1,High,0.31,Document,Random inspection selected,5,2
SHP000458,India,Japan,2022-05-14,2022-06-04,2022-06-10,Road,Carrier_50,R106,Electronics,34178.91,3048.61,6460.53,Missing,0.62,5,High,0.22,Both,"Incomplete paperwork, requires manual review",6,2
SHP000459,USA,Brazil,2022-09-15,2022-09-30,2022-10-01,Rail,Carrier_31,R916,Electronics,34725.44,745.74,3224.71,Complete,0.69,5,Medium,0.03,Both,Random inspection selected,1,1
SHP000460,UAE,UK,2019-08-18,2019-09-08,2019-09-10,Road,Carrier_37,R842,Machinery,25767.3,4821.89,6169.81,Error,0.63,0,Low,0.04,Both,"Suspected undervaluation, needs reassessment",2,1
SHP000461,Japan,UK,2019-09-29,2019-10-08,2019-10-09,Road,Carrier_2,R447,Textiles,8841.22,165.59,9753.31,Error,0.85,4,Medium,0.46,Physical,Incorrect HS code classification,1,1
SHP000462,India,Japan,2022-07-12,2022-08-08,2022-08-08,Sea,Carrier_18,R523,Electronics,15172.99,4505.41,9143.40,Missing,0.47,3,Medium,0.96,Physical,Incorrect HS code classification,0,0
SHP000463,Brazil,USA,2020-04-04,2020-04-20,2020-04-24,Sea,Carrier_50,R306,Electronics,30544.2,4142.2,8270.74,Complete,0.99,3,High,0.29,Physical,High-risk commodity flagged for inspection,4,2
SHP000464,Japan,South Africa,2024-11-14,2024-11-28,2024-11-28,Road,Carrier_10,R887,Electronics,48095.64,1977.94,9456.96,Complete,0.63,1,High,0.34,Physical,Tariff dispute pending resolution,0,0
SHP000465,UK,Australia,2020-04-19,2020-04-24,2020-04-24,Road,Carrier_3,R803,Food,28131.86,2731.44,2426.52,Missing,0.86,0,Low,0.83,Both,Routine customs clearance without issue,0,0
SHP000466,Brazil,China,2022-07-02,2022-07-27,2022-07-29,Air,Carrier_21,R305,Pharmaceuticals,22581.63,1546.55,5695.45,Error,0.56,2,Medium,0.19,Both,"Incomplete paperwork, requires manual review",2,1
SHP000467,Brazil,USA,2020-10-07,2020-10-20,2020-10-21,Sea,Carrier_1,R737,Food,14242.14,4833.77,9422.23,Complete,0.73,4,Medium,0.35,Both,Random inspection selected,1,1
SHP000468,Brazil,USA,2022-03-06,2022-03-29,2022-03-29,Air,Carrier_11,R172,Automotive,29442.91,739.02,6549.79,Missing,0.67,0,Low,0.63,Physical,Tariff dispute pending resolution,0,0
SHP000469,China,USA,2023-04-21,2023-04-27,2023-04-27,Sea,Carrier_28,R501,Pharmaceuticals,49698.57,4407.56,8304.88,Missing,0.77,2,Medium,0.57,Physical,"Suspected undervaluation, needs reassessment",0,0
SHP000470,South Africa,India,2024-03-22,2024-04-14,2024-04-15,Air,Carrier_6,R932,Machinery,31412.36,1046.49,8672.22,Missing,0.64,2,High,0.04,Both,"Suspected undervaluation, needs reassessment",1,1
SHP000471,UAE,South Africa,2021-08-07,2021-08-19,2021-08-28,Air,Carrier_40,R364,Automotive,12159.74,4821.94,7423.33,Error,0.95,5,Medium,0.72,Document,Tariff dispute pending resolution,9,2
SHP000472,UAE,China,2019-09-25,2019-10-15,2019-10-15,Sea,Carrier_23,R590,Textiles,27135.94,4356.35,3798.46,Missing,0.48,4,High,0.79,Physical,Incorrect HS code classification,0,0
SHP000473,India,UAE,2020-03-14,2020-03-29,2020-03-31,Sea,Carrier_20,R645,Textiles,14512.61,4391.6,7566.85,Missing,0.97,1,High,0.15,Physical,Incorrect HS code classification,2,1
SHP000474,USA,South Africa,2023-04-22,2023-04-29,2023-04-29,Road,Carrier_14,R933,Machinery,23671.1,4905.89,8063.65,Error,0.69,2,High,0.86,Both,High-risk commodity flagged for inspection,0,0
SHP000475,USA,India,2024-06-16,2024-06-24,2024-06-24,Rail,Carrier_21,R668,Electronics,15003.39,1055.95,8294.32,Missing,0.86,3,Low,0.39,Both,"Incomplete paperwork, requires manual review",0,0
SHP000476,Australia,UK,2022-09-03,2022-09-23,2022-09-28,Sea,Carrier_6,R322,Pharmaceuticals,26052.5,2487.01,1003.28,Error,0.75,1,Medium,0.87,Both,Random inspection selected,5,2
SHP000477,UK,South Africa,2021-03-12,2021-03-23,2021-03-24,Road,Carrier_20,R683,Machinery,41548.43,3834.41,5989.65,Error,0.74,2,Low,0.96,Both,"Incomplete paperwork, requires manual review",1,1
SHP000478,Australia,South Africa,2023-07-14,2023-07-23,2023-07-25,Road,Carrier_4,R478,Food,10823.25,590.86,1870.10,Error,0.91,4,Medium,0.44,Physical,Routine customs clearance without issue,2,1
SHP000479,Brazil,China,2021-08-21,2021-09-08,2021-09-11,Rail,Carrier_41,R425,Machinery,31703.03,4635.59,7271.61,Missing,0.41,3,High,0.48,Physical,"Suspected undervaluation, needs reassessment",3,1
SHP000480,USA,South Africa,2020-07-23,2020-08-03,2020-08-03,Rail,Carrier_24,R960,Textiles,34698.38,3627.4,3527.46,Error,0.82,1,Low,0.13,Physical,"Incomplete paperwork, requires manual review",0,0
SHP000481,China,Germany,2024-06-16,2024-07-12,2024-07-12,Rail,Carrier_9,R186,Pharmaceuticals,40417.42,1429.86,7813.68,Error,0.53,4,Medium,0.96,Both,High-risk commodity flagged for inspection,0,0
SHP000482,UAE,Australia,2023-10-04,2023-10-26,2023-10-26,Rail,Carrier_25,R463,Pharmaceuticals,1434.3,4989.21,4044.64,Error,0.81,0,High,0.83,Document,Routine customs clearance without issue,0,0
SHP000483,Germany,Australia,2022-01-07,2022-01-25,2022-01-29,Road,Carrier_3,R138,Food,37283.33,757.11,8917.57,Complete,0.85,4,Medium,0.77,Both,"Incomplete paperwork, requires manual review",4,2
SHP000484,USA,Australia,2022-02-18,2022-03-09,2022-03-12,Sea,Carrier_34,R724,Electronics,33268.49,3842.27,5017.70,Error,0.91,5,High,0.61,Both,"Incomplete paperwork, requires manual review",3,1
SHP000485,South Africa,Brazil,2019-08-05,2019-08-20,2019-08-21,Sea,Carrier_31,R564,Food,4804.82,2067.34,8687.83,Error,0.64,2,Medium,0.07,Document,Routine customs clearance without issue,1,1
SHP000486,Brazil,Japan,2020-11-17,2020-11-23,2020-11-23,Road,Carrier_47,R903,Food,18092.21,599.44,5267.17,Error,0.88,3,High,0.95,Physical,Incorrect HS code classification,0,0
SHP000487,China,Japan,2019-04-22,2019-05-06,2019-05-06,Rail,Carrier_6,R229,Food,4766.24,2528.09,2259.45,Missing,0.88,1,High,0.71,Document,Random inspection selected,0,0
SHP000488,Brazil,China,2020-04-01,2020-04-25,2020-04-27,Air,Carrier_38,R856,Pharmaceuticals,3461.07,410.86,8317.57,Complete,0.64,2,High,0.3,Physical,Tariff dispute pending resolution,2,1
SHP000489,USA,Australia,2019-05-16,2019-05-31,2019-05-31,Sea,Carrier_10,R709,Pharmaceuticals,40370.65,4649.68,9125.62,Missing,0.64,1,High,0.91,Document,"Suspected undervaluation, needs reassessment",0,0
SHP000490,USA,Brazil,2022-11-14,2022-11-20,2022-11-20,Road,Carrier_49,R939,Electronics,16753.29,2408.36,1860.31,Missing,0.54,3,Medium,0.64,Document,Tariff dispute pending resolution,0,0
SHP000491,South Africa,Germany,2023-04-05,2023-05-01,2023-05-03,Rail,Carrier_31,R368,Pharmaceuticals,18532.89,3256.7,9690.65,Complete,0.47,2,Medium,0.89,Document,"Suspected undervaluation, needs reassessment",2,1
SHP000492,Japan,Australia,2019-06-18,2019-06-26,2019-06-28,Road,Carrier_28,R725,Machinery,25651.11,2274.28,5466.52,Missing,0.75,2,Low,0.62,Document,"Suspected undervaluation, needs reassessment",2,1
SHP000493,Australia,UK,2024-03-03,2024-04-01,2024-04-03,Air,Carrier_47,R788,Food,12854.65,3584.07,4193.76,Missing,0.89,5,High,0.8,Physical,Random inspection selected,2,1
SHP000494,South Africa,China,2019-02-04,2019-02-11,2019-02-11,Sea,Carrier_27,R200,Food,28072.55,2624.84,2702.97,Missing,0.49,2,Low,0.78,Both,Random inspection selected,0,0
SHP000495,Brazil,Germany,2019-05-20,2019-05-25,2019-05-26,Sea,Carrier_4,R708,Machinery,14929.43,712.45,4552.86,Error,0.78,0,High,0.05,Physical,"Incomplete paperwork, requires manual review",1,1
SHP000496,Australia,USA,2023-03-20,2023-04-15,2023-04-15,Air,Carrier_8,R812,Pharmaceuticals,37683.62,1622.05,5150.47,Missing,0.4,5,Low,0.51,Both,Tariff dispute pending resolution,0,0
SHP000497,Brazil,UAE,2022-08-17,2022-08-30,2022-08-31,Air,Carrier_50,R175,Automotive,42127.59,68.91,2022.58,Missing,0.55,2,Low,0.74,Document,Routine customs clearance without issue,1,1
SHP000498,Brazil,USA,2023-12-10,2023-12-17,2023-12-19,Rail,Carrier_13,R724,Textiles,16497.24,554.37,3923.92,Missing,0.62,0,Low,0.27,Both,Routine customs clearance without issue,2,1
SHP000499,UK,Germany,2020-03-11,2020-03-30,2020-03-30,Road,Carrier_7,R135,Electronics,39657.69,4464.77,2153.83,Error,0.66,2,Medium,0.91,Physical,Tariff dispute pending resolution,0,0
SHP000500,USA,China,2019-06-04,2019-06-30,2019-07-04,Rail,Carrier_18,R255,Machinery,19488.58,4822.19,6403.60,Error,0.45,0,High,0.69,Both,Routine customs clearance without issue,4,2
SHP000501,UAE,South Africa,2023-11-22,2023-12-09,2023-12-09,Sea,Carrier_35,R331,Electronics,32002.88,3534.09,7298.98,Missing,0.4,0,High,0.17,Both,Random inspection selected,0,0
SHP000502,Japan,Brazil,2023-06-29,2023-07-05,2023-07-06,Sea,Carrier_24,R647,Automotive,35939.26,3348.61,2318.68,Missing,0.98,5,Low,0.76,Physical,Incorrect HS code classification,1,1
SHP000503,China,UAE,2021-02-21,2021-03-07,2021-03-09,Rail,Carrier_7,R745,Machinery,15604.56,571.56,6886.72,Complete,0.87,5,Medium,0.64,Both,High-risk commodity flagged for inspection,2,1
SHP000504,USA,China,2021-03-01,2021-03-06,2021-03-08,Air,Carrier_32,R498,Electronics,3361.11,1832.25,9856.92,Missing,0.97,3,High,0.5,Document,"Incomplete paperwork, requires manual review",2,1
SHP000505,China,UK,2019-08-18,2019-09-02,2019-09-02,Sea,Carrier_26,R221,Pharmaceuticals,11235.25,1875.1,9570.68,Error,0.62,4,Low,0.05,Both,Incorrect HS code classification,0,0
SHP000506,Germany,India,2019-06-01,2019-06-29,2019-06-29,Air,Carrier_32,R769,Electronics,38610.81,2111.7,8720.89,Complete,0.89,1,High,0.85,Both,High-risk commodity flagged for inspection,0,0
SHP000507,China,Germany,2019-07-24,2019-08-07,2019-08-10,Sea,Carrier_30,R725,Pharmaceuticals,24141.81,4406.78,2047.23,Complete,0.53,3,High,0.68,Both,High-risk commodity flagged for inspection,3,1
SHP000508,India,Brazil,2023-10-12,2023-10-27,2023-10-27,Rail,Carrier_21,R223,Machinery,30779.85,1511.74,9943.27,Missing,0.48,1,Low,0.65,Both,High-risk commodity flagged for inspection,0,0
SHP000509,Japan,India,2020-05-09,2020-05-22,2020-05-22,Air,Carrier_49,R525,Pharmaceuticals,32596.8,2005.9,7060.80,Complete,0.83,3,Low,0.2,Both,"Incomplete paperwork, requires manual review",0,0
SHP000510,USA,India,2023-03-21,2023-04-19,2023-04-24,Air,Carrier_2,R598,Electronics,44620.54,1472.68,1104.10,Complete,0.62,0,High,0.06,Both,Incorrect HS code classification,5,2
SHP000511,Brazil,UAE,2024-05-03,2024-05-30,2024-06-01,Air,Carrier_14,R246,Machinery,14112.04,4185.63,5439.76,Missing,0.41,3,Low,0.38,Physical,Incorrect HS code classification,2,1
SHP000512,China,Germany,2024-08-09,2024-09-02,2024-09-02,Sea,Carrier_41,R946,Automotive,17529.93,145.67,6699.63,Complete,0.47,4,Low,0.41,Physical,"Incomplete paperwork, requires manual review",0,0
SHP000513,South Africa,India,2023-01-22,2023-02-20,2023-02-20,Air,Carrier_30,R888,Machinery,27015.95,2995.9,4409.45,Complete,0.41,1,Low,0.46,Physical,"Suspected undervaluation, needs reassessment",0,0
SHP000514,UAE,South Africa,2020-12-23,2021-01-02,2021-01-03,Sea,Carrier_4,R760,Automotive,48211.46,2619.21,5670.36,Missing,0.81,2,Medium,0.31,Both,Routine customs clearance without issue,1,1
